,U,target_U,nbt,AMCmax,Greedy,EDFVD_test,LPA,OCBP,PLRS,Vestal,LWLF,LWLF_t,LWLF_n_states,EDFVD,EDFVD_t,EDFVD_n_states
94,0.4857142857142857,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.999891996383667,160.0,1.0,2.0079150199890137,160.0
95,0.4935897435897436,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.156992197036743,118.0,1.0,1.8509278297424316,118.0
96,0.49425287356321834,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7867438793182373,274.0,1.0,2.744032859802246,274.0
97,0.49411764705882355,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.654567956924438,5541.0,1.0,11.41807508468628,5244.0
98,0.4894179894179894,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.396951913833618,316.0,1.0,2.137096881866455,318.0
99,0.4930555555555556,0.49,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.182664155960083,214.0,1.0,2.390367269515991,214.0
100,0.5010893246187365,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0847342014312744,236.0,1.0,1.96380615234375,236.0
101,0.49837662337662336,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.646085023880005,438.0,1.0,3.518294095993042,384.0
102,0.4985714285714286,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.813117027282715,1926.0,1.0,4.601362943649292,1131.0
103,0.5005747126436781,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.635692834854126,1695.0,1.0,5.20158314704895,1677.0
104,0.5,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6427509784698486,118.0,1.0,1.7678782939910889,118.0
105,0.5,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4007880687713623,406.0,1.0,2.326056957244873,402.0
106,0.5045454545454546,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4835987091064453,170.0,1.0,1.358525037765503,172.0
107,0.5009523809523809,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0680480003356934,250.0,1.0,1.9718871116638184,248.0
108,0.5000608939227865,0.5,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,24.76232385635376,14550.0,1.0,21.58029794692993,9255.0
109,0.5042087542087542,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.535849094390869,232.0,1.0,2.5173568725585938,144.0
110,0.5111111111111111,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7567191123962402,172.0,1.0,1.7550442218780518,134.0
111,0.5093167701863355,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1892220973968506,292.0,1.0,2.214700698852539,292.0
112,0.5119047619047619,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.436830997467041,1350.0,1.0,4.022021055221558,1350.0
113,0.5124521072796935,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.24757981300354,332.0,1.0,2.2655460834503174,326.0
114,0.5105263157894737,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.892579078674316,7404.0,1.0,12.995267868041992,6339.0
115,0.5064102564102564,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7907750606536865,518.0,1.0,3.062208890914917,432.0
116,0.5112443778110944,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.012317180633545,614.0,1.0,3.7902448177337646,606.0
117,0.5096618357487923,0.51,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9796950817108154,194.0,1.0,2.015448808670044,194.0
